,COMMUNITY AREA NAME,BUILDING_SUBTYPE,TOTAL KWH,TOTAL THERMS,TOTAL POPULATION,TOTAL UNITS,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE
9745,Belmont Cragin,Single Family,112946.0,17721.0,59.0,18.0,69.13,3.28
9746,Belmont Cragin,Single Family,112637.0,17064.0,47.0,15.0,71.29,3.13
9747,Belmont Cragin,Single Family,122077.0,15948.0,48.0,16.0,69.69,4.0
9748,Belmont Cragin,Single Family,106301.0,18111.0,63.0,18.0,82.14,3.94
9749,Belmont Cragin,Multi < 7,67736.0,18044.0,69.0,25.0,78.57,3.0
9751,Belmont Cragin,Multi < 7,186737.0,30021.0,131.0,39.0,85.0,3.74
9752,Belmont Cragin,Multi 7+,9044.0,1361.0,16.0,9.0,37.0,1.78
9753,Belmont Cragin,Single Family,34881.0,5968.0,16.0,9.0,49.33,1.78
9754,Belmont Cragin,Multi < 7,12284.0,245.0,113.0,43.0,54.0,2.69
9755,Belmont Cragin,Multi < 7,112744.0,25791.0,82.0,30.0,39.0,2.93
9756,Belmont Cragin,Multi < 7,39539.0,6836.0,51.0,16.0,53.0,3.4
9757,Belmont Cragin,Single Family,48243.0,6063.0,51.0,16.0,70.4,3.4
9758,Belmont Cragin,Multi < 7,41502.0,10909.0,49.0,17.0,45.25,3.5
9759,Belmont Cragin,Single Family,45258.0,4780.0,49.0,17.0,35.0,3.5
9767,Belmont Cragin,Multi < 7,57280.0,16889.0,19.0,11.0,84.0,2.11
9770,Belmont Cragin,Multi < 7,111752.0,19661.0,110.0,38.0,70.43,2.97
9771,Belmont Cragin,Single Family,113811.0,16491.0,110.0,38.0,76.64,2.97
9772,Belmont Cragin,Multi < 7,31292.0,2873.0,89.0,36.0,40.5,2.7
9773,Belmont Cragin,Single Family,119740.0,22588.0,89.0,36.0,80.93,2.7
9774,Belmont Cragin,Multi 7+,20856.0,3846.0,76.0,23.0,81.0,3.8
9775,Belmont Cragin,Multi < 7,21328.0,2019.0,78.0,19.0,55.0,4.59
9776,Belmont Cragin,Single Family,138507.0,25505.0,78.0,19.0,74.53,4.59
9777,Belmont Cragin,Single Family,69288.0,13582.0,69.0,25.0,72.29,3.0
