,COMMUNITY AREA NAME,BUILDING_SUBTYPE,TOTAL KWH,TOTAL THERMS,TOTAL POPULATION,TOTAL UNITS,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE
27374,Humboldt Park,Multi 7+,26074.0,15532.0,0.0,0.0,83.0,0.0
27375,Humboldt Park,Single Family,47619.0,4527.0,22.0,11.0,101.25,2.44
27376,Humboldt Park,Multi 7+,29100.0,7899.0,95.0,31.0,86.0,3.06
27377,Humboldt Park,Multi < 7,60525.0,7023.0,95.0,31.0,96.4,3.06
27378,Humboldt Park,Single Family,9464.0,2756.0,95.0,31.0,49.0,3.06
27380,Humboldt Park,Multi < 7,8729.0,2957.0,72.0,16.0,100.0,4.5
27381,Humboldt Park,Multi 7+,31773.0,5378.0,41.0,16.0,103.0,3.15
27384,Humboldt Park,Multi < 7,66972.0,10476.0,0.0,0.0,91.17,0.0
27385,Humboldt Park,Single Family,12076.0,6004.0,0.0,0.0,93.0,0.0
27386,Humboldt Park,Single Family,15318.0,2918.0,4.0,1.0,72.5,4.0
27387,Humboldt Park,Multi < 7,48909.0,9466.0,11.0,7.0,101.6,2.2
27388,Humboldt Park,Single Family,16562.0,2941.0,11.0,7.0,81.5,2.2
27389,Humboldt Park,Multi < 7,45647.0,7102.0,93.0,26.0,98.33,4.04
27391,Humboldt Park,Multi < 7,38900.0,7661.0,103.0,40.0,104.17,3.32
27392,Humboldt Park,Single Family,44142.0,10277.0,103.0,40.0,96.29,3.32
27393,Humboldt Park,Multi < 7,12085.0,2270.0,72.0,19.0,106.0,4.0
27394,Humboldt Park,Multi < 7,73874.0,14901.0,136.0,41.0,110.14,3.49
27395,Humboldt Park,Single Family,58461.0,10005.0,136.0,41.0,99.0,3.49
27396,Humboldt Park,Multi < 7,198436.0,38858.0,203.0,58.0,92.29,4.14
27397,Humboldt Park,Multi < 7,210164.0,40277.0,189.0,54.0,90.61,3.94
27398,Humboldt Park,Multi < 7,200989.0,39744.0,120.0,45.0,90.21,3.53
27399,Humboldt Park,Multi < 7,121324.0,28120.0,111.0,42.0,84.46,2.85
27400,Humboldt Park,Single Family,53260.0,9344.0,111.0,42.0,54.14,2.85
27401,Humboldt Park,Multi < 7,189724.0,32992.0,193.0,59.0,95.0,3.64
27402,Humboldt Park,Single Family,18275.0,1927.0,193.0,59.0,50.0,3.64
27403,Humboldt Park,Multi < 7,190145.0,37889.0,184.0,51.0,90.16,4.4
27405,Humboldt Park,Multi < 7,268597.0,57402.0,177.0,57.0,80.74,3.34
27407,Humboldt Park,Multi < 7,59212.0,13439.0,87.0,30.0,79.29,3.78
27408,Humboldt Park,Single Family,28304.0,5850.0,87.0,30.0,111.0,3.78
27410,Humboldt Park,Multi < 7,85957.0,19931.0,114.0,40.0,74.6,3.17
27411,Humboldt Park,Single Family,70266.0,9310.0,114.0,40.0,95.71,3.17
27412,Humboldt Park,Multi < 7,213385.0,40272.0,167.0,57.0,94.69,3.41
27414,Humboldt Park,Multi < 7,101547.0,21213.0,143.0,59.0,84.8,3.25
27415,Humboldt Park,Single Family,74342.0,10936.0,143.0,59.0,105.57,3.25
27416,Near West Side,Multi 7+,53019.0,2634.0,0.0,0.0,8.0,0.0
27418,Humboldt Park,Multi < 7,57827.0,14773.0,120.0,35.0,91.5,3.75
27419,Humboldt Park,Single Family,80609.0,16479.0,120.0,35.0,75.38,3.75
27422,Humboldt Park,Multi < 7,22048.0,2662.0,24.0,10.0,85.0,3.0
27423,Humboldt Park,Multi < 7,26349.0,1700.0,32.0,8.0,111.0,5.33
27425,Humboldt Park,Multi < 7,82581.0,11692.0,7.0,3.0,75.4,2.33
27426,Humboldt Park,Single Family,23525.0,5865.0,7.0,3.0,89.75,2.33
27429,Humboldt Park,Multi < 7,24790.0,4211.0,2.0,3.0,91.0,1.0
27431,Humboldt Park,Multi < 7,119395.0,24956.0,4.0,2.0,74.2,2.0
27433,Humboldt Park,Single Family,12355.0,3082.0,4.0,2.0,111.0,2.0
27434,Humboldt Park,Multi < 7,82568.0,21334.0,167.0,43.0,90.0,4.18
27435,Humboldt Park,Single Family,70735.0,13789.0,167.0,43.0,82.89,4.18
27436,Humboldt Park,Multi < 7,103776.0,22527.0,158.0,51.0,80.18,3.22
27437,Humboldt Park,Single Family,51484.0,15084.0,158.0,51.0,96.18,3.22
27439,Humboldt Park,Multi < 7,134211.0,22187.0,132.0,39.0,59.6,3.38
27440,Humboldt Park,Single Family,52725.0,9054.0,132.0,39.0,94.0,3.38
27441,Humboldt Park,Multi < 7,56629.0,13730.0,112.0,39.0,85.33,3.11
27442,Humboldt Park,Single Family,26811.0,3943.0,112.0,39.0,73.25,3.11
27443,Humboldt Park,Multi < 7,147536.0,23957.0,123.0,41.0,84.91,3.24
27444,Humboldt Park,Single Family,65615.0,4259.0,123.0,41.0,98.5,3.24
27445,Humboldt Park,Multi < 7,22082.0,5937.0,81.0,24.0,69.0,3.52
27446,Humboldt Park,Single Family,126537.0,13977.0,81.0,24.0,74.64,3.52
27447,Humboldt Park,Multi < 7,341904.0,67248.0,230.0,85.0,82.2,3.11
27448,Humboldt Park,Single Family,41162.0,8090.0,230.0,85.0,85.6,3.11
27451,Humboldt Park,Multi < 7,9634.0,1513.0,48.0,18.0,0.0,4.36
27452,Humboldt Park,Single Family,52758.0,7554.0,48.0,18.0,106.0,4.36
27454,Humboldt Park,Multi < 7,7325.0,2599.0,26.0,7.0,101.0,3.71
27455,Humboldt Park,Single Family,19564.0,2568.0,26.0,7.0,121.0,3.71
27456,Humboldt Park,Multi < 7,32703.0,5044.0,58.0,16.0,121.0,4.31
27457,Humboldt Park,Single Family,37229.0,4510.0,58.0,16.0,114.0,4.31
27458,Humboldt Park,Multi < 7,58912.0,9881.0,99.0,30.0,108.5,3.41
27459,Humboldt Park,Multi < 7,113844.0,25251.0,133.0,43.0,109.33,3.53
27461,Humboldt Park,Multi < 7,122775.0,22506.0,133.0,36.0,114.5,3.8
27462,Humboldt Park,Single Family,67683.0,10742.0,133.0,36.0,114.57,3.8
27463,Humboldt Park,Multi < 7,17355.0,3377.0,100.0,22.0,114.33,4.55
27464,Humboldt Park,Single Family,124087.0,18538.0,100.0,22.0,104.31,4.55
27465,Humboldt Park,Multi 7+,28638.0,6047.0,155.0,54.0,96.0,3.23
27466,Humboldt Park,Multi < 7,90971.0,16135.0,155.0,54.0,100.33,3.23
27467,Humboldt Park,Single Family,89455.0,13704.0,155.0,54.0,98.89,3.23
27468,Humboldt Park,Multi < 7,35395.0,9605.0,99.0,38.0,100.83,3.09
27469,Humboldt Park,Single Family,101585.0,16810.0,99.0,38.0,111.64,3.09
27470,Humboldt Park,Multi < 7,26026.0,2592.0,73.0,19.0,103.67,3.84
27471,Humboldt Park,Single Family,120779.0,21087.0,73.0,19.0,104.0,3.84
27472,Humboldt Park,Single Family,84183.0,19997.0,99.0,30.0,107.33,3.41
27473,Humboldt Park,Multi < 7,15350.0,750.0,36.0,12.0,118.5,3.6
27474,Humboldt Park,Single Family,67512.0,5108.0,36.0,12.0,38.17,3.6
27475,Humboldt Park,Multi < 7,72769.0,10725.0,68.0,24.0,109.0,3.4
27476,Humboldt Park,Single Family,81895.0,9556.0,68.0,24.0,122.14,3.4
27477,Humboldt Park,Multi < 7,261971.0,17576.0,108.0,33.0,108.5,3.72
27478,Humboldt Park,Single Family,64065.0,7563.0,108.0,33.0,93.29,3.72
27479,Humboldt Park,Multi < 7,93444.0,26429.0,156.0,52.0,44.73,3.47
27480,Humboldt Park,Single Family,58826.0,11048.0,156.0,52.0,75.43,3.47
27481,Humboldt Park,Multi < 7,109964.0,23004.0,127.0,46.0,100.77,3.02
27482,Humboldt Park,Single Family,45340.0,8899.0,127.0,46.0,109.0,3.02
27483,Humboldt Park,Multi < 7,74283.0,14397.0,116.0,34.0,104.14,3.74
27484,Humboldt Park,Single Family,139998.0,18929.0,116.0,34.0,95.27,3.74
27486,Humboldt Park,Single Family,13051.0,2303.0,4.0,2.0,102.5,2.0
27487,Humboldt Park,Multi < 7,14514.0,2459.0,21.0,6.0,111.0,3.5
27488,Humboldt Park,Single Family,82185.0,12404.0,21.0,6.0,110.67,3.5
27490,Humboldt Park,Single Family,145328.0,21505.0,133.0,28.0,95.84,5.32
27491,Humboldt Park,Multi 7+,21910.0,7292.0,144.0,43.0,96.0,3.43
27492,Humboldt Park,Multi < 7,70695.0,15609.0,144.0,43.0,89.0,3.43
27493,Humboldt Park,Single Family,82385.0,13663.0,144.0,43.0,64.3,3.43
27494,Humboldt Park,Multi < 7,53164.0,11348.0,102.0,34.0,102.67,3.4
27495,Humboldt Park,Single Family,68208.0,14810.0,102.0,34.0,96.18,3.4
27496,Humboldt Park,Multi 7+,35653.0,4873.0,175.0,53.0,106.0,3.65
27497,Humboldt Park,Multi < 7,143304.0,30095.0,175.0,53.0,101.17,3.65
27498,Humboldt Park,Single Family,30429.0,3435.0,175.0,53.0,67.5,3.65
27500,Humboldt Park,Multi < 7,137176.0,28922.0,136.0,40.0,103.58,3.78
27501,Humboldt Park,Single Family,29829.0,4309.0,136.0,40.0,74.0,3.78
27502,Humboldt Park,Multi < 7,105410.0,16978.0,75.0,26.0,75.29,3.0
27503,Humboldt Park,Single Family,43082.0,8630.0,75.0,26.0,102.83,3.0
27505,Humboldt Park,Multi < 7,125113.0,19364.0,102.0,31.0,86.0,3.29
27506,Humboldt Park,Single Family,25233.0,5013.0,102.0,31.0,76.8,3.29
27508,Humboldt Park,Multi < 7,13836.0,2327.0,46.0,15.0,121.0,3.07
27509,Humboldt Park,Single Family,58582.0,4426.0,46.0,15.0,122.6,3.07
27512,Humboldt Park,Multi < 7,22233.0,5842.0,67.0,25.0,120.0,3.53
27513,Humboldt Park,Single Family,57327.0,13135.0,67.0,25.0,115.75,3.53
27515,Humboldt Park,Multi 7+,52860.0,11649.0,93.0,30.0,81.0,3.44
27516,Humboldt Park,Multi < 7,114659.0,18941.0,93.0,30.0,74.0,3.44
27517,Humboldt Park,Single Family,4059.0,1822.0,93.0,30.0,68.5,3.44
27519,Humboldt Park,Multi < 7,62493.0,7091.0,25.0,12.0,96.5,2.5
27521,Humboldt Park,Single Family,25977.0,7086.0,13.0,8.0,111.0,2.6
27522,Humboldt Park,Multi < 7,35905.0,5902.0,33.0,12.0,82.0,3.0
27525,Humboldt Park,Multi < 7,81910.0,15876.0,109.0,40.0,87.14,3.11
27526,Humboldt Park,Single Family,27186.0,7113.0,109.0,40.0,111.4,3.11
27527,Humboldt Park,Multi < 7,88273.0,21120.0,122.0,37.0,91.8,4.07
27528,Humboldt Park,Single Family,27264.0,4106.0,122.0,37.0,102.67,4.07
27529,Humboldt Park,Multi < 7,107161.0,21293.0,90.0,28.0,75.78,3.46
27530,Humboldt Park,Single Family,25232.0,3318.0,90.0,28.0,86.33,3.46
27531,Humboldt Park,Multi < 7,25188.0,2727.0,69.0,20.0,69.0,3.83
27532,Humboldt Park,Single Family,11351.0,2007.0,69.0,20.0,121.0,3.83
27533,Humboldt Park,Single Family,17665.0,2401.0,18.0,5.0,113.5,3.6
27534,Humboldt Park,Multi 7+,19572.0,3640.0,11.0,6.0,84.0,1.83
27536,Humboldt Park,Single Family,17074.0,1552.0,33.0,12.0,101.0,3.0
27537,Humboldt Park,Multi < 7,22711.0,4335.0,32.0,14.0,83.0,3.2
27538,Humboldt Park,Single Family,30511.0,4228.0,32.0,14.0,97.25,3.2
27540,Humboldt Park,Multi < 7,5047.0,1879.0,10.0,3.0,84.0,7.0
27541,Humboldt Park,Single Family,52514.0,9219.0,10.0,3.0,118.71,7.0
27545,Humboldt Park,Multi < 7,24220.0,8503.0,23.0,14.0,38.67,2.3
27546,Humboldt Park,Multi < 7,48216.0,8145.0,52.0,14.0,57.6,4.33
27547,Humboldt Park,Multi < 7,11487.0,4203.0,22.0,9.0,94.0,3.67
27548,Humboldt Park,Single Family,14039.0,3577.0,22.0,9.0,103.0,3.67
27549,Humboldt Park,Multi < 7,47525.0,8271.0,77.0,23.0,116.0,3.85
27550,Humboldt Park,Single Family,33324.0,6801.0,77.0,23.0,93.0,3.85
27551,Humboldt Park,Multi < 7,83487.0,12682.0,62.0,20.0,84.17,3.26
27552,Humboldt Park,Single Family,32115.0,4790.0,62.0,20.0,106.5,3.26
27554,Humboldt Park,Multi < 7,43687.0,9490.0,120.0,25.0,101.0,4.44
27555,Humboldt Park,Single Family,75840.0,8854.0,120.0,25.0,80.14,4.44
27556,Humboldt Park,Multi < 7,92726.0,18406.0,92.0,37.0,107.0,2.88
27557,Humboldt Park,Single Family,71884.0,9248.0,92.0,37.0,101.0,2.88
27558,Humboldt Park,Multi < 7,126420.0,20982.0,205.0,67.0,89.27,3.87
27559,Humboldt Park,Single Family,159702.0,20117.0,205.0,67.0,107.12,3.87
27561,Humboldt Park,Multi < 7,21668.0,3810.0,86.0,35.0,94.0,3.07
27562,Humboldt Park,Single Family,87202.0,13859.0,86.0,35.0,100.91,3.07
27563,Humboldt Park,Multi < 7,42216.0,10028.0,106.0,30.0,72.25,3.93
27564,Humboldt Park,Single Family,82525.0,15595.0,106.0,30.0,108.55,3.93
27565,Humboldt Park,Multi < 7,20141.0,5723.0,65.0,20.0,103.0,4.06
27566,Humboldt Park,Single Family,102161.0,9879.0,65.0,20.0,121.75,4.06
27567,Humboldt Park,Single Family,12834.0,3554.0,35.0,16.0,117.67,2.69
27568,Humboldt Park,Multi < 7,32805.0,6307.0,55.0,14.0,103.75,5.0
27569,Humboldt Park,Single Family,12115.0,3865.0,55.0,14.0,59.5,5.0
27570,Humboldt Park,Multi < 7,43162.0,7661.0,25.0,12.0,98.2,3.57
27571,Humboldt Park,Multi < 7,37163.0,2236.0,13.0,5.0,111.0,2.6
27573,Humboldt Park,Multi < 7,114570.0,29487.0,107.0,34.0,100.27,3.45
27574,Humboldt Park,Multi < 7,205220.0,24713.0,168.0,50.0,99.4,3.5
27575,Humboldt Park,Single Family,30773.0,7624.0,168.0,50.0,92.4,3.5
27576,Humboldt Park,Multi < 7,84621.0,17042.0,116.0,37.0,98.57,3.63
27577,Humboldt Park,Single Family,31887.0,9782.0,116.0,37.0,116.17,3.63
27581,Humboldt Park,Multi < 7,73263.0,16442.0,118.0,30.0,104.33,4.54
27582,Humboldt Park,Single Family,43078.0,10020.0,118.0,30.0,77.14,4.54
27583,Humboldt Park,Multi < 7,88866.0,24388.0,99.0,36.0,99.5,3.3
27584,Humboldt Park,Single Family,28565.0,8951.0,99.0,36.0,110.4,3.3
27587,Humboldt Park,Multi < 7,74666.0,8050.0,51.0,17.0,91.75,3.92
27589,Humboldt Park,Multi < 7,111290.0,22930.0,134.0,40.0,100.5,3.72
27590,Humboldt Park,Single Family,28251.0,3643.0,134.0,40.0,90.67,3.72
27591,Humboldt Park,Multi < 7,169495.0,25199.0,131.0,45.0,73.45,3.45
27592,Humboldt Park,Single Family,48134.0,6240.0,131.0,45.0,106.4,3.45
27594,Humboldt Park,Multi < 7,92603.0,26171.0,114.0,44.0,103.73,3.17
27595,Humboldt Park,Single Family,43667.0,4856.0,114.0,44.0,108.8,3.17
27596,Humboldt Park,Multi < 7,150919.0,29015.0,137.0,42.0,89.67,3.51
27597,Humboldt Park,Single Family,21678.0,3489.0,137.0,42.0,98.5,3.51
27598,Humboldt Park,Multi < 7,146068.0,26078.0,162.0,43.0,90.31,3.86
27599,Logan Square,Single Family,19827.0,2870.0,41.0,20.0,131.0,2.73
27600,Humboldt Park,Single Family,43556.0,6053.0,162.0,43.0,76.0,3.86
27601,Humboldt Park,Multi < 7,52709.0,9579.0,74.0,16.0,82.25,4.63
27602,Humboldt Park,Single Family,78260.0,6738.0,74.0,16.0,79.67,4.63
27603,Humboldt Park,Multi 7+,23302.0,8962.0,91.0,40.0,103.0,2.94
27604,Humboldt Park,Multi < 7,135295.0,23775.0,91.0,40.0,107.09,2.94
27605,Humboldt Park,Multi < 7,51256.0,9143.0,32.0,13.0,111.0,2.67
27606,Humboldt Park,Single Family,126617.0,10564.0,32.0,13.0,97.5,2.67
27609,Humboldt Park,Multi < 7,16475.0,2155.0,33.0,10.0,101.0,3.3
27611,Humboldt Park,Multi < 7,222338.0,42639.0,178.0,56.0,91.05,3.49
27612,Humboldt Park,Multi < 7,48577.0,1789.0,13.0,5.0,96.0,6.5
27613,Humboldt Park,Multi < 7,156675.0,29898.0,152.0,56.0,44.93,3.23
27614,Humboldt Park,Single Family,25751.0,4521.0,152.0,56.0,112.67,3.23
27617,Humboldt Park,Multi < 7,96413.0,8499.0,78.0,22.0,0.0,3.21
27618,Humboldt Park,Single Family,11270.0,3672.0,78.0,22.0,58.0,3.21
27619,Humboldt Park,Multi < 7,32123.0,6159.0,92.0,38.0,108.33,2.71
27620,Humboldt Park,Single Family,141483.0,26826.0,92.0,38.0,111.0,2.71
27621,Humboldt Park,Multi < 7,98597.0,17475.0,110.0,39.0,103.63,3.14
27622,Humboldt Park,Single Family,119595.0,20896.0,110.0,39.0,109.53,3.14
27624,Humboldt Park,Multi < 7,175779.0,36683.0,156.0,42.0,111.39,4.11
27625,Humboldt Park,Multi < 7,163828.0,33385.0,144.0,46.0,115.3,3.51
27626,Humboldt Park,Single Family,230473.0,37160.0,125.0,30.0,106.0,4.31
27627,Humboldt Park,Multi < 7,22649.0,3217.0,116.0,35.0,106.0,3.74
27628,Humboldt Park,Single Family,195930.0,35767.0,116.0,35.0,96.78,3.74
27629,Humboldt Park,Multi < 7,68242.0,15060.0,129.0,35.0,82.11,3.79
27630,Humboldt Park,Single Family,105496.0,22017.0,129.0,35.0,99.73,3.79
27631,Humboldt Park,Multi < 7,9751.0,1753.0,93.0,31.0,101.0,3.58
27632,Humboldt Park,Single Family,152710.0,24695.0,93.0,31.0,96.5,3.58
27633,Humboldt Park,Multi < 7,83666.0,14117.0,102.0,34.0,63.29,3.78
27634,Humboldt Park,Single Family,75449.0,16871.0,102.0,34.0,107.69,3.78
27635,Humboldt Park,Multi < 7,198797.0,31270.0,169.0,53.0,79.23,3.52
27636,Humboldt Park,Single Family,124462.0,15686.0,169.0,53.0,90.58,3.52
27640,Humboldt Park,Multi < 7,21744.0,8419.0,13.0,3.0,0.0,4.33
27641,Humboldt Park,Multi < 7,92641.0,45667.0,159.0,96.0,72.33,1.87
27642,Humboldt Park,Multi < 7,95863.0,23318.0,90.0,38.0,107.0,2.57
27643,Humboldt Park,Single Family,19667.0,1120.0,90.0,38.0,10.0,2.57
27644,Humboldt Park,Multi < 7,146194.0,36268.0,100.0,43.0,111.08,2.7
27645,Humboldt Park,Single Family,17632.0,3332.0,100.0,43.0,80.67,2.7
27646,Humboldt Park,Multi 7+,30229.0,7531.0,147.0,57.0,110.5,3.13
27647,Humboldt Park,Multi < 7,161734.0,28587.0,147.0,57.0,111.08,3.13
27648,Humboldt Park,Single Family,29921.0,3341.0,147.0,57.0,43.5,3.13
27650,Humboldt Park,Multi 7+,47476.0,15298.0,117.0,54.0,104.33,2.66
27651,Humboldt Park,Multi < 7,30032.0,5740.0,117.0,54.0,115.67,2.66
27652,Humboldt Park,Single Family,26964.0,1945.0,117.0,54.0,116.0,2.66
27654,Humboldt Park,Multi 7+,77538.0,5816.0,74.0,33.0,98.0,2.64
27655,Humboldt Park,Multi < 7,87950.0,18065.0,74.0,33.0,105.17,2.64
27656,Humboldt Park,Multi < 7,87253.0,19315.0,96.0,41.0,94.0,2.82
27658,Humboldt Park,Multi < 7,136541.0,19530.0,112.0,48.0,64.0,2.87
27659,Humboldt Park,Single Family,42127.0,2146.0,112.0,48.0,108.5,2.87
27660,Humboldt Park,Multi < 7,123946.0,27917.0,129.0,51.0,109.14,3.0
27661,Humboldt Park,Single Family,39460.0,7009.0,129.0,51.0,119.33,3.0
27662,Humboldt Park,Multi < 7,200639.0,23026.0,84.0,27.0,57.8,3.11
27663,Humboldt Park,Single Family,27342.0,5143.0,84.0,27.0,102.0,3.11
27666,Humboldt Park,Multi < 7,80184.0,22605.0,80.0,40.0,70.33,2.35
27669,Humboldt Park,Multi < 7,80346.0,21312.0,83.0,35.0,105.43,2.52
27670,Humboldt Park,Single Family,14840.0,2054.0,83.0,35.0,121.0,2.52
27673,Humboldt Park,Multi < 7,176089.0,37473.0,139.0,64.0,35.68,3.09
27674,Humboldt Park,Single Family,33572.0,6012.0,139.0,64.0,75.33,3.09
27675,Humboldt Park,Multi < 7,185738.0,37338.0,120.0,47.0,21.44,2.79
27676,Humboldt Park,Single Family,37390.0,5226.0,120.0,47.0,40.0,2.79
27679,Humboldt Park,Multi < 7,125111.0,27760.0,84.0,41.0,67.46,2.8
27680,Humboldt Park,Multi < 7,49753.0,7323.0,41.0,22.0,108.5,2.16
27681,Humboldt Park,Multi < 7,147698.0,30172.0,120.0,37.0,45.33,3.43
27682,Humboldt Park,Multi < 7,128745.0,18311.0,73.0,42.0,88.14,2.15
27683,Humboldt Park,Multi < 7,180377.0,28111.0,81.0,45.0,35.17,2.19
27684,Humboldt Park,Single Family,9893.0,3684.0,81.0,45.0,23.5,2.19
27685,Humboldt Park,Multi < 7,116785.0,23264.0,90.0,50.0,88.92,2.81
27686,Humboldt Park,Single Family,47139.0,9545.0,90.0,50.0,114.43,2.81
27688,Humboldt Park,Multi < 7,78426.0,24771.0,96.0,32.0,77.38,3.43
27689,Humboldt Park,Multi < 7,49940.0,13739.0,67.0,26.0,109.5,3.19
27690,Humboldt Park,Single Family,40211.0,1954.0,67.0,26.0,11.5,3.19
27693,Humboldt Park,Multi < 7,182174.0,14914.0,133.0,41.0,35.17,3.5
27694,Humboldt Park,Single Family,25460.0,5011.0,133.0,41.0,116.0,3.5
27697,Humboldt Park,Multi < 7,140537.0,27757.0,160.0,57.0,65.64,3.9
27699,Humboldt Park,Multi < 7,201112.0,31792.0,205.0,69.0,85.0,3.36
27700,Humboldt Park,Single Family,50590.0,8524.0,205.0,69.0,101.75,3.36
27701,Humboldt Park,Multi < 7,110698.0,17740.0,79.0,29.0,63.13,2.93
27704,Humboldt Park,Multi 7+,51204.0,6430.0,140.0,28.0,88.5,2.14
27705,Humboldt Park,Multi < 7,113906.0,13498.0,140.0,28.0,85.6,2.14
27706,Humboldt Park,Single Family,25107.0,4554.0,140.0,28.0,106.0,2.14
27708,Humboldt Park,Multi < 7,125478.0,24928.0,173.0,60.0,84.1,3.53
27709,Humboldt Park,Single Family,33199.0,9456.0,173.0,60.0,104.38,3.53
27711,Humboldt Park,Multi < 7,88818.0,18828.0,101.0,42.0,71.2,2.66
27712,Humboldt Park,Single Family,15729.0,2270.0,101.0,42.0,121.0,2.66
27714,Humboldt Park,Multi < 7,136082.0,33828.0,76.0,29.0,24.13,2.92
27715,Humboldt Park,Multi < 7,79263.0,17007.0,73.0,32.0,88.3,2.52
27716,Humboldt Park,Single Family,16967.0,3079.0,73.0,32.0,119.33,2.52
27718,Humboldt Park,Multi < 7,104623.0,25990.0,125.0,45.0,63.82,3.57
27719,Humboldt Park,Single Family,59431.0,6478.0,125.0,45.0,89.2,3.57
27720,Humboldt Park,Multi 7+,29133.0,5665.0,89.0,50.0,89.0,2.54
27721,Humboldt Park,Multi < 7,118021.0,18732.0,89.0,50.0,57.67,2.54
27722,Humboldt Park,Single Family,25248.0,4641.0,89.0,50.0,119.75,2.54
27724,Humboldt Park,Multi < 7,115702.0,23607.0,78.0,36.0,81.22,2.52
27725,Humboldt Park,Single Family,6960.0,2067.0,78.0,36.0,60.5,2.52
27727,Humboldt Park,Multi < 7,47580.0,6933.0,19.0,10.0,70.67,2.71
27729,Humboldt Park,Multi < 7,21492.0,4469.0,129.0,39.0,98.5,3.79
27733,Humboldt Park,Multi < 7,74515.0,18852.0,112.0,46.0,46.22,3.2
27734,Humboldt Park,Single Family,12711.0,1393.0,112.0,46.0,0.0,3.2
27737,Humboldt Park,Multi < 7,93583.0,8139.0,96.0,37.0,51.75,3.56
27738,Humboldt Park,Single Family,15323.0,2101.0,96.0,37.0,101.0,3.56
27739,Humboldt Park,Multi < 7,41232.0,6772.0,110.0,40.0,62.6,3.24
27740,Humboldt Park,Single Family,116524.0,22598.0,110.0,40.0,111.0,3.24
27741,Humboldt Park,Multi < 7,78104.0,14127.0,107.0,33.0,71.83,3.34
27742,Humboldt Park,Single Family,134705.0,25512.0,107.0,33.0,106.12,3.34
27743,Humboldt Park,Multi < 7,175558.0,36461.0,195.0,61.0,105.55,3.82
27744,Humboldt Park,Single Family,21273.0,2116.0,195.0,61.0,4.0,3.82
27745,Humboldt Park,Multi < 7,199326.0,36355.0,181.0,58.0,115.09,3.42
27746,Humboldt Park,Multi < 7,21446.0,4971.0,116.0,30.0,106.0,4.0
27747,Humboldt Park,Single Family,222754.0,32210.0,116.0,30.0,101.57,4.0
27749,Humboldt Park,Single Family,206835.0,33810.0,121.0,37.0,106.0,3.56
27750,Humboldt Park,Single Family,205818.0,34870.0,106.0,34.0,105.83,3.42
27752,Humboldt Park,Single Family,122393.0,19477.0,116.0,36.0,108.44,3.41
27754,Humboldt Park,Multi < 7,125533.0,14268.0,70.0,26.0,99.75,3.04
27755,Humboldt Park,Single Family,113044.0,20340.0,70.0,26.0,109.13,3.04
27756,Humboldt Park,Multi < 7,95804.0,22366.0,98.0,37.0,88.0,2.97
27759,Humboldt Park,Multi < 7,227384.0,44613.0,86.0,33.0,90.52,3.44
27761,Humboldt Park,Multi < 7,70654.0,11246.0,79.0,25.0,96.0,3.59
27762,Humboldt Park,Single Family,56614.0,9512.0,79.0,25.0,97.0,3.59
27763,Humboldt Park,Multi < 7,92043.0,21937.0,80.0,27.0,96.83,3.2
27764,Humboldt Park,Single Family,64505.0,10546.0,80.0,27.0,96.0,3.2
27765,Portage Park,Multi < 7,9715.0,304.0,71.0,23.0,0.0,3.38
27766,Humboldt Park,Multi < 7,122270.0,27474.0,156.0,39.0,90.87,3.95
27767,Humboldt Park,Single Family,35110.0,9224.0,156.0,39.0,98.17,3.95
27768,Humboldt Park,Multi < 7,52419.0,11322.0,55.0,25.0,94.0,2.62
27769,Humboldt Park,Multi < 7,138098.0,25310.0,130.0,44.0,90.8,3.33
27770,Humboldt Park,Single Family,22745.0,5829.0,130.0,44.0,97.0,3.33
27772,Humboldt Park,Multi < 7,141924.0,22665.0,110.0,40.0,97.17,3.67
27773,Humboldt Park,Single Family,31651.0,4573.0,110.0,40.0,91.0,3.67
27774,Humboldt Park,Multi < 7,189832.0,25908.0,95.0,33.0,98.24,2.88
27775,Humboldt Park,Single Family,27402.0,2577.0,95.0,33.0,68.33,2.88
27776,Humboldt Park,Multi < 7,38134.0,5747.0,115.0,28.0,102.67,4.61
27777,Humboldt Park,Single Family,140629.0,21047.0,115.0,28.0,93.82,4.61
27778,Humboldt Park,Multi < 7,175493.0,27240.0,106.0,38.0,96.47,3.66
27780,Humboldt Park,Multi < 7,211456.0,41196.0,129.0,52.0,90.67,3.15
27781,Humboldt Park,Multi < 7,24128.0,8443.0,63.0,24.0,99.5,3.0
27782,Humboldt Park,Single Family,65539.0,11847.0,63.0,24.0,100.0,3.0
27783,Humboldt Park,Single Family,100817.0,13269.0,31.0,16.0,108.36,2.38
27784,Humboldt Park,Single Family,38450.0,6400.0,41.0,23.0,110.38,2.93
27788,Humboldt Park,Multi < 7,42464.0,8230.0,37.0,20.0,82.8,3.36
27789,Humboldt Park,Multi < 7,66066.0,12244.0,0.0,0.0,87.4,0.0
27790,Humboldt Park,Multi < 7,9580.0,2406.0,9.0,5.0,101.0,1.8
27791,Humboldt Park,Multi < 7,22508.0,4918.0,79.0,41.0,101.25,2.93
27792,Humboldt Park,Single Family,15022.0,2867.0,79.0,41.0,116.0,2.93
27794,Humboldt Park,Multi < 7,61343.0,15677.0,41.0,25.0,99.67,2.93
27795,Humboldt Park,Multi < 7,103726.0,23386.0,81.0,35.0,91.73,3.38
